Title,Genre(s)
The Shawshank Redemption,Drama
The Godfather,Crime
The Godfather,Drama
The Dark Knight,Action
The Dark Knight,Crime
The Dark Knight,Drama
The Godfather Part II,Crime
The Godfather Part II,Drama
12 Angry Men,Crime
12 Angry Men,Drama
The Lord of the Rings: The Return of the King,Adventure
The Lord of the Rings: The Return of the King,Drama
The Lord of the Rings: The Return of the King,Fantasy
Schindler's List,Biography
Schindler's List,Drama
Schindler's List,History
The Lord of the Rings: The Fellowship of the Ring,Adventure
The Lord of the Rings: The Fellowship of the Ring,Drama
The Lord of the Rings: The Fellowship of the Ring,Fantasy
Pulp Fiction,Crime
Pulp Fiction,Drama
"Il buono, il brutto, il cattivo",Adventure
"Il buono, il brutto, il cattivo",Drama
"Il buono, il brutto, il cattivo",Western
The Lord of the Rings: The Two Towers,Adventure
The Lord of the Rings: The Two Towers,Drama
The Lord of the Rings: The Two Towers,Fantasy
Forrest Gump,Drama
Forrest Gump,Romance
Fight Club,Crime
Fight Club,Drama
Fight Club,Thriller
Inception,Action
Inception,Adventure
Inception,Sci-Fi
Star Wars: Episode V - The Empire Strikes Back,Action
Star Wars: Episode V - The Empire Strikes Back,Adventure
Star Wars: Episode V - The Empire Strikes Back,Fantasy
The Matrix,Action
The Matrix,Sci-Fi
GoodFellas,Biography
GoodFellas,Crime
GoodFellas,Drama
Interstellar,Adventure
Interstellar,Drama
Interstellar,Sci-Fi
One Flew Over the Cuckoo's Nest,Drama
Se7en,Crime
Se7en,Drama
Se7en,Mystery
It's a Wonderful Life,Drama
It's a Wonderful Life,Family
It's a Wonderful Life,Fantasy
The Silence of the Lambs,Crime
The Silence of the Lambs,Drama
The Silence of the Lambs,Horror
Shichinin no samurai,Action
Shichinin no samurai,Drama
Saving Private Ryan,Drama
Saving Private Ryan,War
The Green Mile,Crime
The Green Mile,Drama
The Green Mile,Fantasy
Cidade de Deus,Crime
Cidade de Deus,Drama
La vita è bella,Comedy
La vita è bella,Drama
La vita è bella,Romance
Terminator 2: Judgment Day,Action
Terminator 2: Judgment Day,Adventure
Terminator 2: Judgment Day,Sci-Fi
Star Wars,Action
Star Wars,Adventure
Star Wars,Fantasy
Back to the Future,Adventure
Back to the Future,Comedy
Back to the Future,Sci-Fi
Sen to Chihiro no kamikakushi,Animation
Sen to Chihiro no kamikakushi,Adventure
Sen to Chihiro no kamikakushi,Family
The Pianist,Biography
The Pianist,Drama
The Pianist,Music
Gladiator,Action
Gladiator,Adventure
Gladiator,Drama
Gisaengchung,Drama
Gisaengchung,Thriller
Psycho,Drama
Psycho,Horror
Psycho,Mystery
Hotaru no haka,Animation
Hotaru no haka,Drama
Hotaru no haka,War
The Lion King,Animation
The Lion King,Adventure
The Lion King,Drama
Seppuku,Drama
Seppuku,Mystery
The Departed,Crime
The Departed,Drama
The Departed,Thriller
Whiplash,Drama
Whiplash,Music
The Prestige,Drama
The Prestige,Mystery
The Prestige,Sci-Fi
American History X,Crime
American History X,Drama
Léon,Action
Léon,Crime
Léon,Drama
Spider-Man: Across the Spider-Verse,Animation
Spider-Man: Across the Spider-Verse,Action
Spider-Man: Across the Spider-Verse,Adventure
Nuovo Cinema Paradiso,Drama
Nuovo Cinema Paradiso,Romance
Casablanca,Drama
Casablanca,Romance
Casablanca,War
Intouchables,Comedy
Intouchables,Drama
The Usual Suspects,Crime
The Usual Suspects,Drama
The Usual Suspects,Mystery
Alien,Horror
Alien,Sci-Fi
Modern Times,Comedy
Modern Times,Drama
Modern Times,Romance
Rear Window,Drama
Rear Window,Mystery
Rear Window,Thriller
Django Unchained,Drama
Django Unchained,Western
C'era una volta il West,Drama
C'era una volta il West,Western
City Lights,Comedy
City Lights,Drama
City Lights,Romance
Apocalypse Now,Drama
Apocalypse Now,Mystery
Apocalypse Now,War
WALL·E,Animation
WALL·E,Adventure
WALL·E,Family
Memento,Drama
Memento,Mystery
Memento,Thriller
Dune: Part Two,Action
Dune: Part Two,Adventure
Dune: Part Two,Drama
Raiders of the Lost Ark,Action
Raiders of the Lost Ark,Adventure
Avengers: Infinity War,Action
Avengers: Infinity War,Adventure
Avengers: Infinity War,Sci-Fi
Das Leben der Anderen,Drama
Das Leben der Anderen,Mystery
Das Leben der Anderen,Thriller
Spider-Man: Into the Spider-Verse,Animation
Spider-Man: Into the Spider-Verse,Action
Spider-Man: Into the Spider-Verse,Adventure
Sunset Blvd.,Drama
Sunset Blvd.,Film-Noir
Witness for the Prosecution,Crime
Witness for the Prosecution,Drama
Witness for the Prosecution,Mystery
Paths of Glory,Drama
Paths of Glory,War
The Shining,Drama
The Shining,Horror
The Great Dictator,Comedy
The Great Dictator,Drama
The Great Dictator,War
Inglourious Basterds,Adventure
Inglourious Basterds,Drama
Inglourious Basterds,War
Aliens,Action
Aliens,Adventure
Aliens,Horror
12th Fail,Biography
12th Fail,Drama
Tengoku to jigoku,Crime
Tengoku to jigoku,Drama
Tengoku to jigoku,Mystery
The Dark Knight Rises,Action
The Dark Knight Rises,Crime
The Dark Knight Rises,Drama
Coco,Animation
Coco,Adventure
Coco,Drama
Avengers: Endgame,Action
Avengers: Endgame,Adventure
Avengers: Endgame,Sci-Fi
Amadeus,Biography
Amadeus,Drama
Amadeus,Music
Good Will Hunting,Drama
Good Will Hunting,Romance
Toy Story,Animation
Toy Story,Adventure
Toy Story,Comedy
Kimi no Na wa.,Animation
Kimi no Na wa.,Drama
Kimi no Na wa.,Fantasy
Oldeuboi,Action
Oldeuboi,Drama
Oldeuboi,Mystery
Das Boot,Drama
Das Boot,War
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,War
Braveheart,Biography
Braveheart,Drama
Braveheart,War
Mononoke-hime,Animation
Mononoke-hime,Adventure
Mononoke-hime,Fantasy
American Beauty,Drama
3 Idiots,Comedy
3 Idiots,Drama
Capharnaüm,Drama
Joker,Crime
Joker,Drama
Joker,Thriller
C'era una volta in America,Crime
C'era una volta in America,Drama
Singin' in the Rain,Comedy
Singin' in the Rain,Musical
Singin' in the Rain,Romance
Idi i smotri,Drama
Idi i smotri,Thriller
Idi i smotri,War
Requiem for a Dream,Drama
Star Wars: Episode VI - Return of the Jedi,Action
Star Wars: Episode VI - Return of the Jedi,Adventure
Star Wars: Episode VI - Return of the Jedi,Fantasy
Toy Story 3,Animation
Toy Story 3,Adventure
Toy Story 3,Comedy
Jagten,Drama
Ikiru,Drama
Eternal Sunshine of the Spotless Mind,Drama
Eternal Sunshine of the Spotless Mind,Romance
Eternal Sunshine of the Spotless Mind,Sci-Fi
Incendies,Drama
Incendies,Mystery
Incendies,War
The Apartment,Comedy
The Apartment,Drama
The Apartment,Romance
Lawrence of Arabia,Adventure
Lawrence of Arabia,Biography
Lawrence of Arabia,Drama
2001: A Space Odyssey,Adventure
2001: A Space Odyssey,Sci-Fi
Reservoir Dogs,Crime
Reservoir Dogs,Thriller
Scarface,Crime
Scarface,Drama
Heat,Action
Heat,Crime
Heat,Drama
Double Indemnity,Crime
Double Indemnity,Drama
Double Indemnity,Film-Noir
Up,Animation
Up,Adventure
Up,Comedy
North by Northwest,Adventure
North by Northwest,Drama
North by Northwest,Mystery
M - Eine Stadt sucht einen Mörder,Crime
M - Eine Stadt sucht einen Mörder,Mystery
M - Eine Stadt sucht einen Mörder,Thriller
Full Metal Jacket,Drama
Full Metal Jacket,War
Citizen Kane,Drama
Citizen Kane,Mystery
Taare Zameen Par,Drama
Taare Zameen Par,Family
Le fabuleux destin d'Amélie Poulain,Comedy
Le fabuleux destin d'Amélie Poulain,Romance
Vertigo,Mystery
Vertigo,Romance
Vertigo,Thriller
Jodaeiye Nader az Simin,Drama
Die Hard,Action
Die Hard,Thriller
To Kill a Mockingbird,Crime
To Kill a Mockingbird,Drama
Indiana Jones and the Last Crusade,Action
Indiana Jones and the Last Crusade,Adventure
The Sting,Comedy
The Sting,Crime
The Sting,Drama
A Clockwork Orange,Crime
A Clockwork Orange,Sci-Fi
Metropolis,Drama
Metropolis,Sci-Fi
Snatch,Comedy
Snatch,Crime
1917,Action
1917,Drama
1917,War
L.A. Confidential,Crime
L.A. Confidential,Drama
L.A. Confidential,Mystery
Oppenheimer,Biography
Oppenheimer,Drama
Oppenheimer,History
Der Untergang,Biography
Der Untergang,Drama
Der Untergang,History
Ladri di biciclette,Drama
Dangal,Action
Dangal,Biography
Dangal,Drama
The Wolf of Wall Street,Biography
The Wolf of Wall Street,Comedy
The Wolf of Wall Street,Crime
The Truman Show,Comedy
The Truman Show,Drama
Green Book,Biography
Green Book,Comedy
Green Book,Drama
Hamilton,Biography
Hamilton,Drama
Hamilton,History
Batman Begins,Action
Batman Begins,Crime
Batman Begins,Drama
Taxi Driver,Crime
Taxi Driver,Drama
Judgment at Nuremberg,Drama
Judgment at Nuremberg,History
Judgment at Nuremberg,War
Shutter Island,Drama
Shutter Island,Mystery
Shutter Island,Thriller
Per qualche dollaro in più,Drama
Per qualche dollaro in più,Western
Some Like It Hot,Comedy
Some Like It Hot,Music
Some Like It Hot,Romance
Jurassic Park,Action
Jurassic Park,Adventure
Jurassic Park,Sci-Fi
There Will Be Blood,Drama
The Kid,Comedy
The Kid,Drama
The Kid,Family
The Father,Drama
The Father,Mystery
All About Eve,Drama
The Sixth Sense,Drama
The Sixth Sense,Mystery
The Sixth Sense,Thriller
Ran,Action
Ran,Drama
Ran,War
Casino,Crime
Casino,Drama
Hababam Sinifi: Sinifta Kaldi,Comedy
No Country for Old Men,Crime
No Country for Old Men,Drama
No Country for Old Men,Thriller
The Thing,Horror
The Thing,Mystery
The Thing,Sci-Fi
Top Gun: Maverick,Action
Top Gun: Maverick,Drama
El laberinto del fauno,Drama
El laberinto del fauno,Fantasy
El laberinto del fauno,War
Unforgiven,Drama
Unforgiven,Western
Prisoners,Crime
Prisoners,Drama
Prisoners,Mystery
Kill Bill: Vol. 1,Action
Kill Bill: Vol. 1,Crime
Kill Bill: Vol. 1,Thriller
A Beautiful Mind,Biography
A Beautiful Mind,Drama
A Beautiful Mind,Mystery
The Treasure of the Sierra Madre,Adventure
The Treasure of the Sierra Madre,Drama
The Treasure of the Sierra Madre,Western
Hauru no ugoku shiro,Animation
Hauru no ugoku shiro,Adventure
Hauru no ugoku shiro,Family
Finding Nemo,Animation
Finding Nemo,Adventure
Finding Nemo,Comedy
Yôjinbô,Action
Yôjinbô,Drama
Yôjinbô,Thriller
The Great Escape,Adventure
The Great Escape,Drama
The Great Escape,Thriller
Monty Python and the Holy Grail,Adventure
Monty Python and the Holy Grail,Comedy
Monty Python and the Holy Grail,Fantasy
La meglio gioventù,Drama
La meglio gioventù,Romance
The Elephant Man,Biography
The Elephant Man,Drama
Klaus,Animation
Klaus,Adventure
Klaus,Comedy
Dial M for Murder,Crime
Dial M for Murder,Drama
Dial M for Murder,Mystery
Gone with the Wind,Drama
Gone with the Wind,Romance
Gone with the Wind,War
El secreto de sus ojos,Drama
El secreto de sus ojos,Mystery
El secreto de sus ojos,Romance
Chinatown,Drama
Chinatown,Mystery
Chinatown,Thriller
"Lock, Stock and Two Smoking Barrels",Comedy
"Lock, Stock and Two Smoking Barrels",Crime
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,Animation
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,Action
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,Adventure
V for Vendetta,Action
V for Vendetta,Drama
V for Vendetta,Sci-Fi
Rashômon,Crime
Rashômon,Drama
Rashômon,Mystery
Inside Out,Animation
Inside Out,Adventure
Inside Out,Comedy
Catch Me If You Can,Biography
Catch Me If You Can,Crime
Catch Me If You Can,Drama
"Three Billboards Outside Ebbing, Missouri",Comedy
"Three Billboards Outside Ebbing, Missouri",Crime
"Three Billboards Outside Ebbing, Missouri",Drama
Trainspotting,Crime
Trainspotting,Drama
The Bridge on the River Kwai,Adventure
The Bridge on the River Kwai,Drama
The Bridge on the River Kwai,War
Harry Potter and the Deathly Hallows: Part 2,Adventure
Harry Potter and the Deathly Hallows: Part 2,Family
Harry Potter and the Deathly Hallows: Part 2,Fantasy
Raging Bull,Biography
Raging Bull,Drama
Raging Bull,Sport
Fargo,Crime
Fargo,Drama
Fargo,Thriller
Warrior,Action
Warrior,Drama
Warrior,Sport
The Wild Robot,Animation
The Wild Robot,Adventure
The Wild Robot,Family
Dead Poets Society,Comedy
Dead Poets Society,Drama
Barry Lyndon,Adventure
Barry Lyndon,Drama
Barry Lyndon,War
Ben-Hur,Adventure
Ben-Hur,Drama
Million Dollar Baby,Drama
Million Dollar Baby,Sport
Mad Max: Fury Road,Action
Mad Max: Fury Road,Adventure
Mad Max: Fury Road,Sci-Fi
Gran Torino,Drama
Tonari no Totoro,Animation
Tonari no Totoro,Adventure
Tonari no Totoro,Comedy
Bacheha-ye aseman,Drama
Bacheha-ye aseman,Family
Bacheha-ye aseman,Sport
Hacksaw Ridge,Biography
Hacksaw Ridge,Drama
Hacksaw Ridge,History
The Grand Budapest Hotel,Comedy
The Grand Budapest Hotel,Drama
12 Years a Slave,Biography
12 Years a Slave,Drama
12 Years a Slave,History
Before Sunrise,Comedy
Before Sunrise,Drama
Before Sunrise,Romance
Blade Runner,Action
Blade Runner,Drama
Blade Runner,Sci-Fi
Salinui chueok,Crime
Salinui chueok,Drama
Salinui chueok,Mystery
Spider-Man: No Way Home,Action
Spider-Man: No Way Home,Adventure
Spider-Man: No Way Home,Fantasy
Ratatouille,Animation
Ratatouille,Adventure
Ratatouille,Comedy
How to Train Your Dragon,Animation
How to Train Your Dragon,Action
How to Train Your Dragon,Adventure
Gone Girl,Drama
Gone Girl,Mystery
Gone Girl,Thriller
"Monsters, Inc.",Animation
"Monsters, Inc.",Adventure
"Monsters, Inc.",Comedy
Jaws,Adventure
Jaws,Horror
Jaws,Thriller
In the Name of the Father,Biography
In the Name of the Father,Crime
In the Name of the Father,Drama
Ford v Ferrari,Action
Ford v Ferrari,Biography
Ford v Ferrari,Drama
Relatos salvajes,Comedy
Relatos salvajes,Drama
Relatos salvajes,Thriller
The Gold Rush,Adventure
The Gold Rush,Comedy
The Gold Rush,Drama
Sherlock Jr.,Action
Sherlock Jr.,Comedy
Sherlock Jr.,Romance
Mary and Max.,Animation
Mary and Max.,Comedy
Mary and Max.,Drama
The Deer Hunter,Drama
The Deer Hunter,War
Le salaire de la peur,Adventure
Le salaire de la peur,Drama
Le salaire de la peur,Thriller
The General,Action
The General,Adventure
The General,Comedy
Logan,Action
Logan,Drama
Logan,Sci-Fi
Mr. Smith Goes to Washington,Comedy
Mr. Smith Goes to Washington,Drama
Rocky,Drama
Rocky,Sport
On the Waterfront,Crime
On the Waterfront,Drama
On the Waterfront,Thriller
Tôkyô monogatari,Drama
Smultronstället,Drama
Smultronstället,Romance
Pirates of the Caribbean: The Curse of the Black Pearl,Action
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure
Pirates of the Caribbean: The Curse of the Black Pearl,Fantasy
The Third Man,Drama
The Third Man,Film-Noir
The Third Man,Mystery
Spotlight,Biography
Spotlight,Crime
Spotlight,Drama
Maharaja,Action
Maharaja,Crime
Maharaja,Drama
Jai Bhim,Crime
Jai Bhim,Drama
La haine,Crime
La haine,Drama
The Terminator,Action
The Terminator,Adventure
The Terminator,Sci-Fi
The Big Lebowski,Comedy
The Big Lebowski,Crime
The Sound of Music,Biography
The Sound of Music,Drama
The Sound of Music,Family
Det sjunde inseglet,Drama
Det sjunde inseglet,Fantasy
Room,Drama
Room,Thriller
The Best Years of Our Lives,Drama
The Best Years of Our Lives,Romance
The Best Years of Our Lives,War
Koe no Katachi,Animation
Koe no Katachi,Drama
Hotel Rwanda,Biography
Hotel Rwanda,Drama
Hotel Rwanda,History
Platoon,Drama
Platoon,War
Before Sunset,Drama
Before Sunset,Romance
The Incredibles,Animation
The Incredibles,Action
The Incredibles,Adventure
The Exorcist,Horror
Hachi: A Dog's Tale,Biography
Hachi: A Dog's Tale,Drama
Hachi: A Dog's Tale,Family
The Wizard of Oz,Adventure
The Wizard of Oz,Family
The Wizard of Oz,Fantasy
Rush,Biography
Rush,Drama
Rush,Sport
La passion de Jeanne d'Arc,Biography
La passion de Jeanne d'Arc,Drama
La passion de Jeanne d'Arc,History
Stand by Me,Adventure
Stand by Me,Comedy
Stand by Me,Drama
The Iron Giant,Animation
The Iron Giant,Action
The Iron Giant,Adventure
Babam ve Oglum,Drama
Babam ve Oglum,Family
La battaglia di Algeri,Drama
La battaglia di Algeri,War
Ah-ga-ssi,Drama
Ah-ga-ssi,Romance
Ah-ga-ssi,Thriller
Network,Drama
Gangs of Wasseypur,Action
Gangs of Wasseypur,Comedy
Gangs of Wasseypur,Crime
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,Animation
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,Action
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,Adventure
The Grapes of Wrath,Drama
Drishyam,Crime
Drishyam,Drama
Drishyam,Mystery
To Be or Not to Be,Comedy
To Be or Not to Be,Romance
To Be or Not to Be,War
Andhadhun,Crime
Andhadhun,Mystery
Andhadhun,Thriller
Höstsonaten,Drama
Höstsonaten,Music
